State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman and Nicobar,7697,7,7561,129,0.09,98.23,1.68,399001
Andhra Pradesh,2074708,1954,2058289,14465,0.09,99.21,0.7,91702478
Arunachal Pradesh,55305,28,54997,280,0.05,99.44,0.51,1711947
Assam,618441,2457,609854,6130,0.4,98.61,0.99,35998752
Bihar,726296,63,714143,12090,0.01,98.33,1.66,128500364
Chandigarh,65623,55,64492,1076,0.08,98.28,1.64,1158040
Chhattisgarh,1007187,374,9932193,13594,0.04,98.61,1.35,32199722
Dadra and Nagar Haveli and Daman and Diu,10686,3,10679,4,0.03,99.93,0.04,773997
Delhi,1441662,385,1416177,25100,0.03,98.23,1.74,19301096
Goa,179419,436,175501,3482,0.24,97.82,1.94,1521992
Gujarat,828077,524,817455,10098,0.06,98.72,1.22,70400153
Haryana,771989,250,761684,10055,0.03,98.67,1.3,28900667
Himachal Pradesh,227904,639,223405,3860,0.28,98.03,1.69,7503010
Jammu and Kashmir,338745,1595,332659,4491,0.47,98.2,1.33,14999397
Jharkhand,349420,130,344149,5141,0.04,98.49,1.47,40100376
Karnataka,3000105,7335,2954513,38257,0.24,98.48,1.28,69599762
Kerala,5190828,39240,5108764,42824,0.76,98.42,0.82,34698876
Ladakh,21804,212,21377,215,0.97,98.04,0.99,290492
Lakshadweep,10405,9,10345,51,0.09,99.42,0.49,66001
Madhya Pradesh,793337,155,782653,10529,0.02,98.65,1.33,85002417
Maharashtra,6643179,10131,6491805,141243,0.15,97.72,2.13,124904071
Manipur,125496,328,123179,1989,0.26,98.15,1.58,3436948
Meghalaya,84680,214,82990,1476,0.25,98.0,1.74,3772103
Mizoram,138212,3100,134596,516,2.24,97.38,0.37,1308967
Nagaland,32151,101,31351,699,0.31,97.51,2.17,2073074
Odisha,1051414,1849,1041132,8433,0.18,99.02,0.8,47099270
Puducherry,129202,230,127095,1877,0.18,98.37,1.45,1646050
Punjab,603697,389,586690,16618,0.06,97.18,2.75,30501026
Rajasthan,955064,273,945835,8956,0.03,99.03,0.94,79502477
Sikkim,32421,210,31805,406,0.65,98.1,1.25,658019
Tamil Nadu,2734715,7770,2690346,36599,0.28,98.38,1.34,83697770
Telengana,678142,3891,670246,4005,0.57,98.84,0.59,38157311
Tripura,84911,87,83998,826,0.1,98.92,0.97,4184959
Uttar Pradesh,1710538,1445,1687480,22914,0.01,98.65,1.34,231502578
Uttarakhand,344442,151,336879,7412,0.04,97.8,2.15,11700099
West Bengal,1622608,7562,1595452,19594,0.47,98.33,1.21,100896618
